player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:45:41:608,-45.1,1.08,-55.6,0,0,0
,1,05:45:43:092,-45.1,1.08,-55.6,0,0,0
,1,05:45:44:586,-45.1,1.08,-55.6,0,0,0
,1,05:45:46:082,-45.1,1.08,-55.6,0,0,0
,1,05:45:47:581,-45.1,1.08,-55.6,0,0,0
,1,05:45:49:104,-45.1,1.08,-55.6,0,0,0
,1,05:45:50:644,-45.1,1.08,-55.6,0,0,0
,1,05:45:52:188,-45.1,1.08,-55.6,0,0,0
,1,05:45:53:700,-45.1,1.08,-55.6,0,0,0
,1,05:45:55:217,-45.1,1.08,-55.6,0,0,0
,1,05:45:56:770,-45.1,1.08,-55.6,0,0,0
,1,05:45:58:295,-45.1,1.08,-55.6,0,0,0
,1,05:45:59:778,-45.1,1.08,-55.6,0,0,0
,1,05:46:01:281,-45.1,1.08,-55.6,0,0,0
,1,05:46:02:837,-45.1,1.08,-55.6,0,0,0
,1,05:46:04:305,-45.1,1.08,-55.6,0,0,0
,1,05:46:05:775,-45.1,1.08,-55.6,0,0,0
,1,05:46:07:258,-45.1,1.08,-55.6,0,0,0
,1,05:46:08:703,-45.1,1.08,-55.6,0,0,0
,1,05:46:10:164,-45.1,1.08,-55.6,0,0,0
,1,05:46:11:640,-45.1,1.08,-55.6,0,0,0
,1,05:46:13:100,-45.1,1.08,-55.6,0,0,0
,1,05:46:14:552,-45.1,1.08,-55.6,0,0,0
,1,05:46:16:003,-45.1,1.08,-55.6,0,0,0
,1,05:46:17:509,-45.1,1.08,-55.6,0,0,0
,1,05:46:19:026,-45.1,1.08,-55.6,0,0,0
,1,05:46:20:520,-45.1,1.08,-55.6,0,0,0
,1,05:46:22:863,-45.1,1.08,-55.6,0,-0.2170047,0
,1,05:46:24:704,-45.1,1.08,-55.6,0,-3.132244E-05,0
,1,05:46:26:224,-45.1,1.08,-55.6,0,-0.01983192,0
,1,05:46:27:678,-45.1,1.08,-55.6,0,-0.02567083,0
,1,05:46:29:320,-45.1,1.08,-55.6,0,-0.234531,0
,1,05:46:30:760,-45.1,1.08,-55.6,0,-0.234531,0
,1,05:46:32:258,-45.1,1.08,-55.6,0,-0.234531,0
,1,05:46:33:904,-45.1,1.08,-55.6,0,0.1222136,0
,1,05:46:35:631,-45.1,1.08,-55.6,0,-0.03432778,0
,1,05:46:37:360,-45.1,1.08,-55.6,0,-0.1177075,0
